City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Te Anau,NZ,-45.4167,167.7167,46.18,78,71,6.89,broken clouds
174,Karratha,AU,-20.7377,116.8463,70.43,24,11,18.84,few clouds
175,Bac Lieu,VN,9.285,105.7244,87.96,64,71,11.79,broken clouds
176,Uzhur,RU,55.3036,89.8339,72.63,49,10,10.09,clear sky
177,Fairbanks,US,64.8378,-147.7164,83.01,47,0,8.05,smoke
178,Astana,KZ,51.1801,71.446,60.75,77,75,13.42,broken clouds
179,Jensen Beach,US,27.2545,-80.2298,84.02,87,3,1.99,clear sky
180,Talnakh,RU,69.4865,88.3972,60.21,39,0,13.78,clear sky
181,Ocara,BR,-4.4908,-38.5967,70.03,97,38,2.93,scattered clouds
182,Nashua,US,42.7654,-71.4676,68.45,77,0,3.44,clear sky
183,Bambous Virieux,MU,-20.3428,57.7575,72.21,73,75,11.5,light rain
184,Opelousas,US,30.5335,-92.0815,82.29,89,0,4.61,clear sky
185,Broome,US,42.2506,-75.833,70.61,78,75,3.44,broken clouds
186,Cabedelo,BR,-6.9811,-34.8339,75.87,81,36,16.6,scattered clouds
187,Talcahuano,CL,-36.7167,-73.1167,51.48,76,100,8.05,moderate rain
188,Kapuskasing,CA,49.4169,-82.4331,64.49,72,100,2.3,overcast clouds
189,Gambela,ET,8.25,34.5833,72.54,80,91,2.73,overcast clouds
190,Aripuana,BR,-9.1667,-60.6333,75.2,58,55,1.92,broken clouds
191,Airai,TL,-8.9266,125.4092,63.84,78,99,3.31,overcast clouds
192,Torbay,CA,47.6666,-52.7314,55.58,78,0,18.41,clear sky
193,Kankon,IN,15.0167,74.0167,76.8,88,100,21.16,moderate rain
194,Belle Fourche,US,44.6714,-103.8522,76.5,74,1,7.05,clear sky
195,Kamenka,RU,51.3223,42.7678,65.8,61,9,6.38,clear sky
196,Codrington,AU,-38.2667,141.9667,57.61,64,53,12.24,broken clouds
197,Hambantota,LK,6.1241,81.1185,86.34,70,40,12.66,scattered clouds
198,Korla,CN,41.7597,86.1469,97.47,14,0,6.62,clear sky
199,Butaritari,KI,3.0707,172.7902,82.51,76,16,21.72,light rain
200,San Cristobal,VE,7.7669,-72.225,68.18,90,56,3.24,broken clouds
201,Necochea,AR,-38.5473,-58.7368,41.88,49,0,7.43,clear sky
202,Hithadhoo,MV,-0.6,73.0833,82.24,71,73,3.56,broken clouds
203,Port Elizabeth,ZA,-33.918,25.5701,55.31,98,20,4.61,few clouds
